# Princeton WordNet 3.0 irregular inflections — surface → base form(s).
# GENERATED by scripts/build-irregulars.ts. Columns:
#   surface <TAB> base[,base] <TAB> pos[,pos] (v|n|a|r) <TAB> reader (1 = safe
#   without a verifier, so englishLemma may use it; 0 = edge-only, see the script)
bullwhipping	bullwhip	v	1
bullyragged	bullyrag	v	1
bullyragging	bullyrag	v	1
bummed	bum	v	1
bumming	bum	v	1
bumpier	bumpy	a	1
bumpiest	bumpy	a	1
bunchier	bunchy	a	1
bunchiest	bunchy	a	1
bunde	bund	n	1
bureaux	bureau	n	1
bureaux_de_change	bureau_de_change	n	0
buried	bury	v	0
burlier	burly	a	1
burliest	burly	a	1
burnt	burn	v	0
burred	bur	v	0
burrier	burry	a	1
burriest	burry	a	1
burring	bur	v	1
bursae	bursa	n	1
burster	burster	a	0
bushbok	boschbok	n	1
bushboks	boschbok	n	1
bushelled	bushel	v	1
bushelling	bushel	v	1
bushier	bushy	a	1
bushiest	bushy	a	1
busied	busy	v	1
busier	busy	a	1
busiest	busy	a	1
busses	bus	n	1
buster	buster	a	0
bustier	busty	a	0
bustiest	busty	a	1
butterfishes	butterfish	n	1
bypast	bypass	v	0
byssi	byssus	n	1
caballed	cabal	v	1
caballing	cabal	v	1
cacti	cactus	n	1
caddied	caddie,caddy	v	0
caddies	caddie,caddy	v	0
caddying	caddie,caddy	v	0
caducei	caduceus	n	1
caeca	caecum	n	1
caesurae	caesura	n	1
cagier	cagey	a	1
cagiest	cagey	a	1
calami	calamus	n	1
calathi	calathus	n	1
calcanei	calcaneum,calcaneus	n	0
calces	calx	n	1
calcified	calcify	v	1
calculi	calculus	n	1
caldaria	caldarium	n	1
calices	calix	n	1
calicoes	calico	n	1
calli	callus	n	1
calves	calf	n	1
calyces	calyx	n	1
cambia	cambium	n	1
came	come	v	1
camerae	camera	n	1
camper	camper	a	0
canaliculi	canaliculus	n	1
canalled	canal	v	1
canalling	canal	v	1
cancelled	cancel	v	0
cancelling	cancel	v	1
candelabra	candelabrum	n	0
candied	candy	v	0
candlefishes	candlefish	n	1
canned	can	v	0
cannier	canny	a	1
canniest	canny	a	1
